City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bratsk,56.1325,101.6142,-20.37,96,76,1.77,RU,1675998296
83,puerto ayora,-0.7393,-90.3518,25.86,91,82,2.64,EC,1675998297
84,namyslow,51.0759,17.7228,-4.82,64,62,3.69,PL,1675998297
85,iqaluit,63.7506,-68.5145,-32.95,67,20,5.14,CA,1675998029
86,fortuna,40.5982,-124.1573,10.51,64,0,0.0,US,1675998298
87,chiang klang,19.2938,100.8617,29.43,37,72,1.37,TH,1675998299
88,constitucion,-35.3333,-72.4167,15.95,75,0,6.12,CL,1675998057
89,kavaratti,10.5669,72.642,26.64,75,100,3.82,IN,1675998300
90,alenquer,-1.9417,-54.7383,23.3,96,89,1.48,BR,1675998183
91,chicama,-7.8447,-79.1469,21.3,76,45,1.79,PE,1675998302
92,tasiilaq,65.6145,-37.6368,-5.91,63,100,6.98,GL,1675998304
93,sao felix do xingu,-6.6447,-51.995,21.84,98,100,0.31,BR,1675998305
94,husavik,66.0449,-17.3389,-6.11,70,100,5.89,IS,1675998306
95,waingapu,-9.6567,120.2641,29.29,69,100,5.41,ID,1675998307
96,kamenka,51.3223,42.7678,-10.34,97,100,2.35,RU,1675998308
97,emba,48.8264,58.1442,-18.03,98,54,2.17,KZ,1675998310
98,mahibadhoo,3.7833,72.9667,26.89,69,100,4.83,MV,1675998311
99,codrington,-38.2667,141.9667,26.17,43,83,6.98,AU,1675998312
100,turan,16.0678,108.2208,27.99,65,20,2.57,VN,1675998015
101,san cristobal,7.7669,-72.225,20.1,95,83,0.71,VE,1675998314
102,georgetown,5.4112,100.3354,29.97,78,20,1.54,MY,1675998172
103,meulaboh,4.1363,96.1285,26.81,84,79,4.68,ID,1675998316
104,mwene-ditu,-7.0,23.45,17.5,95,48,1.06,CD,1675998317
105,narsaq,60.9167,-46.05,-5.88,97,100,1.3,GL,1675998318
106,laguna,38.421,-121.4238,14.42,76,0,2.06,US,1675998319
107,itanhaem,-24.1831,-46.7889,23.57,89,60,2.29,BR,1675998321
108,paamiut,61.994,-49.6678,-7.1,91,100,9.89,GL,1675998199
109,pimenta bueno,-11.6725,-61.1936,22.43,98,100,1.38,BR,1675998323
110,shenjiamen,29.9576,122.298,8.11,91,98,7.58,CN,1675998324
111,tateyama,34.9833,139.8667,4.96,87,75,3.6,JP,1675998326
112,henties bay,-22.116,14.2845,18.93,84,92,2.11,NA,1675998327
113,shimoda,34.6667,138.95,6.2,92,100,5.53,JP,1675998327
114,longkou,37.6508,120.3286,1.47,87,99,3.65,CN,1675998329
115,castro,-24.7911,-50.0119,18.97,80,93,1.36,BR,1675998330
116,kiama,-34.6833,150.8667,29.65,68,4,3.58,AU,1675998331
117,jamestown,42.097,-79.2353,8.34,92,100,6.69,US,1675998049
118,qaanaaq,77.484,-69.3632,-22.86,60,0,4.2,GL,1675998333
119,uvira,-3.4067,29.1458,21.62,76,50,1.73,CD,1675998333
120,yulara,-25.2406,130.9889,37.44,13,0,4.3,AU,1675998334
121,novoagansk,61.9449,76.6625,-23.54,100,88,2.91,RU,1675998335
122,ribeira grande,38.5167,-28.7,14.32,67,82,4.92,PT,1675998336
123,gat,31.61,34.7642,9.67,70,79,0.62,IL,1675998337
124,lagoa,39.05,-27.9833,13.74,58,77,5.31,PT,1675998338
125,saskylakh,71.9167,114.0833,-43.29,98,51,3.11,RU,1675998339
126,nanortalik,60.1432,-45.2371,-1.39,96,100,3.49,GL,1675998341
127,mayo,38.8876,-76.5119,19.09,72,40,6.69,US,1675998342
128,guerrero negro,27.9769,-114.0611,18.31,39,0,2.32,MX,1675998342
129,tabou,4.423,-7.3528,25.98,85,6,2.14,CI,1675998343
130,dvinskoy,62.1535,45.1175,-3.56,86,89,4.63,RU,1675998344
131,morant bay,17.8815,-76.4093,25.79,82,5,4.76,JM,1675998345
132,zlobin,45.2924,14.6541,-3.39,44,0,3.09,HR,1675998345
133,cidreira,-30.1811,-50.2056,22.84,84,70,4.02,BR,1675998346
134,mahon,39.8885,4.2658,7.31,70,40,6.17,ES,1675998347
135,port lincoln,-34.7333,135.8667,22.55,61,5,8.25,AU,1675998055
136,antigonish,45.6169,-61.9986,-6.36,70,100,0.9,CA,1675998348
137,la union,-5.4,-80.75,25.74,67,93,3.63,PE,1675998348
138,yar-sale,66.8333,70.8333,-8.65,92,100,8.1,RU,1675998349
139,vao,-22.6667,167.4833,25.96,82,100,5.7,NC,1675998350
140,ponta do sol,32.6667,-17.1,16.11,76,99,3.73,PT,1675998350
141,ambilobe,-13.2,49.05,22.06,94,100,1.19,MG,1675998351
142,kununurra,-15.7667,128.7333,33.99,52,100,0.51,AU,1675998351
143,belmonte,-15.8631,-38.8828,24.84,85,22,2.13,BR,1675998352
144,mahebourg,-20.4081,57.7,26.25,78,20,2.57,MU,1675998353
145,sinegorye,62.0788,150.477,-32.4,97,92,1.04,RU,1675998353
146,tutoia,-2.7619,-42.2744,25.68,88,7,3.58,BR,1675998354
147,nome,64.5011,-165.4064,-17.96,71,100,3.09,US,1675998355
148,tocopilla,-22.092,-70.1979,22.01,81,43,0.97,CL,1675998355
149,chokurdakh,70.6333,147.9167,-31.52,97,100,2.78,RU,1675998356
150,beringovskiy,63.05,179.3167,-30.82,96,65,4.3,RU,1675998357
151,vestmannaeyjar,63.4427,-20.2734,3.34,89,100,15.83,IS,1675998199
152,bakchar,57.0186,82.0711,-20.26,98,99,1.63,RU,1675998358
153,alofi,-19.0595,-169.9187,29.94,70,75,4.12,NU,1675998359
154,shieli,44.1667,66.75,-8.13,51,93,2.45,KZ,1675998359
155,hambantota,6.1241,81.1185,25.19,100,20,1.03,LK,1675998360
156,airai,-8.9266,125.4092,19.21,82,100,2.12,TL,1675998361
157,torbay,47.6666,-52.7314,-9.57,80,100,8.75,CA,1675998363
158,coquimbo,-29.9533,-71.3436,17.85,88,75,3.6,CL,1675998136
159,abu kamal,34.4506,40.9171,5.49,48,100,2.53,SY,1675998366
160,east london,-33.0153,27.9116,21.42,84,100,2.1,ZA,1675998282
161,ancud,-41.8697,-73.8203,14.95,99,100,3.42,CL,1675998250
162,esperance,-33.8667,121.9,23.42,53,0,2.13,AU,1675998367
163,bideford,51.0179,-4.2046,2.83,82,90,1.8,GB,1675998368
164,luanda,-8.8368,13.2343,25.0,83,75,2.06,AO,1675998253
165,marapanim,-0.7175,-47.6997,23.53,95,17,1.33,BR,1675998370
166,luwingu,-10.2621,29.9271,15.83,96,50,1.79,ZM,1675998371
167,grindavik,63.8424,-22.4338,2.26,87,100,11.83,IS,1675998372
168,onzaga,6.3443,-72.8173,14.52,93,100,0.94,CO,1675998373
169,talas,38.6908,35.5538,-13.63,85,20,3.09,TR,1675998374
170,babra,21.85,71.3,21.09,35,17,2.77,IN,1675998375
171,port hawkesbury,45.6169,-61.3485,-5.23,62,0,2.06,CA,1675998377
172,egvekinot,66.3167,-179.1667,-30.23,88,89,3.11,RU,1675998379
173,hammerfest,70.6634,23.6821,-1.75,86,40,6.69,NO,1675998380
174,luderitz,-26.6481,15.1594,17.09,91,7,4.04,NA,1675998382
175,barsuki,54.2655,37.4875,-5.35,93,98,3.89,RU,1675998383
176,cherskiy,68.75,161.3,-39.9,98,97,2.23,RU,1675998385
177,palmer,42.1584,-72.3287,11.59,93,100,0.0,US,1675998182
178,lamu,-2.2717,40.902,25.12,89,27,4.74,KE,1675998387
179,chuy,-33.6971,-53.4616,20.64,90,0,1.82,UY,1675998102
180,kakogawa,34.7667,134.85,8.5,82,100,4.86,JP,1675998388
181,caucaia,-3.7361,-38.6531,27.8,78,40,4.12,BR,1675998390
182,xichang,27.8964,102.2634,13.27,44,33,1.51,CN,1675998391
183,barra do garcas,-15.89,-52.2567,24.0,86,100,0.38,BR,1675998392
184,naze,28.3667,129.4833,17.51,82,100,7.76,JP,1675998393
185,inhambane,-23.865,35.3833,25.24,91,60,3.74,MZ,1675998395
186,poindimie,-20.9333,165.3333,28.02,77,100,5.18,NC,1675998396
187,victoria,22.2855,114.1577,22.2,88,91,1.34,HK,1675998265
188,houston,29.7633,-95.3633,16.16,66,100,3.6,US,1675998018
189,bethel,41.3712,-73.414,10.43,84,100,0.0,US,1675998185
190,tura,25.5198,90.2201,20.79,43,0,1.16,IN,1675998399
191,nantucket,41.2835,-70.0995,11.08,88,100,8.75,US,1675998167
192,dordrecht,51.81,4.6736,2.79,94,90,0.89,NL,1675998400
193,hamilton,39.1834,-84.5333,7.69,71,100,9.77,US,1675997558
194,kemijarvi,66.7131,27.4306,-1.43,87,100,5.01,FI,1675998402
195,jalu,29.0331,21.5482,11.58,62,26,3.61,LY,1675998403
196,nelson bay,-32.7167,152.15,28.03,72,0,4.47,AU,1675998403
197,madimba,-10.4,40.3333,25.5,88,85,3.35,TZ,1675998404
198,ofunato,39.0717,141.7167,1.3,65,100,3.49,JP,1675998404
199,barabai,-2.5833,115.3833,30.62,64,100,0.9,ID,1675998405
200,buraydah,26.326,43.975,9.25,49,55,4.15,SA,1675998279
201,tarakan,3.3,117.6333,29.72,66,40,2.57,ID,1675998406
202,barrow,71.2906,-156.7887,-25.99,76,100,2.06,US,1675998407
203,byron bay,-28.65,153.6167,28.73,54,1,5.67,AU,1675998158
204,harper,4.375,-7.7169,26.05,84,41,2.2,LR,1675998408
205,namibe,-15.1961,12.1522,20.32,81,82,2.27,AO,1675998409
206,trinidad,-14.8333,-64.9,23.55,97,100,1.51,BO,1675998410
207,purpe,64.4803,76.6897,-18.11,97,100,5.82,RU,1675998411
208,suluq,31.6682,20.2521,10.16,69,21,9.61,LY,1675998411
209,almaznyy,48.0448,40.045,-9.78,91,89,0.9,RU,1675998412
210,isangel,-19.55,169.2667,25.3,94,100,5.75,VU,1675998412
211,kahului,20.8947,-156.47,25.01,69,40,6.69,US,1675998413
212,graham,47.0529,-122.2943,9.1,81,75,0.0,US,1675997997
213,ust-tsilma,65.441,52.1498,-0.03,88,100,4.79,RU,1675998414
214,salisbury,51.0693,-1.7957,0.25,97,31,2.06,GB,1675998176
215,mehamn,71.0357,27.8492,-0.03,86,100,11.32,NO,1675998349
216,port keats,-14.25,129.55,28.19,82,100,2.7,AU,1675998416
217,lang son,21.8333,106.7333,20.58,90,100,1.51,VN,1675998416
218,solnechnyy,50.7214,136.6319,-17.69,86,41,1.55,RU,1675998401
219,san patricio,28.017,-97.5169,16.92,52,100,3.1,US,1675998417
220,muros,42.7762,-9.0603,6.76,85,0,3.51,ES,1675998418
221,prince rupert,54.3161,-130.3201,5.83,92,100,12.86,CA,1675998350
222,tamale,9.4008,-0.8393,26.73,17,1,1.96,GH,1675998419
223,sioux lookout,50.1001,-91.917,-14.83,92,100,3.95,CA,1675998419
224,antalaha,-14.9003,50.2788,22.76,90,82,2.24,MG,1675998420
225,boende,-0.2167,20.8667,25.61,46,97,0.08,CD,1675998421
226,axim,4.8699,-2.2405,25.39,91,54,2.06,GH,1675998422
227,masuguru,-11.3667,38.4167,22.19,99,100,1.3,TZ,1675998423
228,dingle,10.9995,122.6711,28.0,73,100,6.12,PH,1675998424
229,antofagasta,-23.65,-70.4,21.6,84,89,0.98,CL,1675998364
230,abalak,58.1286,68.5944,-17.23,100,98,1.43,RU,1675998426
231,kvarkeno,52.0833,59.725,-6.6,80,100,4.42,RU,1675998427
232,akdepe,42.0551,59.3788,-6.04,55,49,2.79,TM,1675998428
233,saint anthony,45.0205,-93.218,-2.04,44,0,8.75,US,1675998430
234,vila velha,-20.3297,-40.2925,24.97,86,20,2.06,BR,1675998431
235,nikolskoye,59.7035,30.7861,-1.06,89,100,5.53,RU,1675998431
236,ilulissat,69.2167,-51.1,-15.99,78,100,4.63,GL,1675998432
237,saldanha,-33.0117,17.9442,18.71,82,0,3.75,ZA,1675998433
238,santana,-0.0583,-51.1817,26.1,100,20,3.6,BR,1675998434
239,havre-saint-pierre,50.2334,-63.5986,-19.39,94,52,2.25,CA,1675998435
240,srednekolymsk,67.45,153.6833,-38.15,96,75,1.98,RU,1675998436
241,brazzaville,-4.2658,15.2832,23.62,88,22,0.71,CG,1675998436
242,tommot,58.9564,126.2925,-24.62,97,99,0.52,RU,1675998437
243,bairiki,1.3292,172.9752,31.0,70,20,6.69,KI,1675998438
244,richards bay,-28.783,32.0377,22.22,96,100,4.03,ZA,1675998439
245,preili,56.2944,26.7246,-3.24,83,61,6.99,LV,1675998440
246,port elizabeth,-33.918,25.5701,16.72,83,14,1.24,ZA,1675998441
247,kattivakkam,13.2167,80.3167,25.05,72,53,1.15,IN,1675998441
248,manggar,-2.8833,108.2667,29.56,68,97,3.41,ID,1675998442
249,port augusta,-32.5,137.7667,34.66,18,0,5.41,AU,1675998443
250,akyab,20.15,92.9,22.38,53,21,2.58,MM,1675998444
251,pisco,-13.7,-76.2167,22.03,94,40,2.57,PE,1675998445
252,pochinki,54.6988,44.8668,-15.87,98,63,2.55,RU,1675998446
253,mar del plata,-38.0023,-57.5575,21.72,88,0,0.45,AR,1675998423
254,agadez,19.75,10.25,16.88,21,8,3.83,NE,1675998448
255,huilong,31.8111,121.655,7.74,87,100,5.57,CN,1675998449
256,lompoc,34.6391,-120.4579,14.88,75,0,0.0,US,1675998450
257,xiangfan,32.0422,112.1448,7.17,65,97,1.93,CN,1675998451
258,washougal,45.5826,-122.3534,11.38,59,0,7.72,US,1675998452
259,lakatoro,-16.0999,167.4164,29.95,66,95,6.43,VU,1675998453
260,fort nelson,58.8053,-122.7002,-10.59,93,100,0.89,CA,1675998453
261,soyo,-6.1349,12.3689,25.75,83,34,3.45,AO,1675998454
262,yenagoa,4.9247,6.2642,25.51,90,15,1.09,NG,1675998455
263,ishigaki,24.3448,124.1572,22.51,81,89,4.36,JP,1675998457
264,todos santos,23.45,-110.2167,18.58,66,14,1.09,MX,1675998457
265,voh,-20.9667,164.7,29.26,71,100,3.44,NC,1675998459
266,aksu,41.1231,80.2644,-2.05,62,94,0.78,CN,1675998399
267,paita,-5.0892,-81.1144,23.99,83,90,2.58,PE,1675998460
268,lermontovka,47.1453,134.3383,-9.78,65,100,2.27,RU,1675998460
269,la peca,-5.6111,-78.435,20.32,86,80,1.6,PE,1675998461
270,bambous virieux,-20.3428,57.7575,26.23,76,83,5.26,MU,1675998461
271,plettenberg bay,-34.0527,23.3716,19.11,91,1,2.2,ZA,1675998462
272,rio gallegos,-51.6226,-69.2181,12.03,54,20,8.23,AR,1675998205
273,paulo ramos,-4.2167,-45.1833,22.85,96,67,1.57,BR,1675998463
274,tomatlan,19.9333,-105.25,19.12,70,17,1.19,MX,1675998464
275,mendoza,-32.8908,-68.8272,29.74,39,0,4.12,AR,1675998347
276,longyearbyen,78.2186,15.6401,-8.09,79,75,2.06,SJ,1675998465
277,tual,-5.6667,132.75,28.03,78,100,10.63,ID,1675998465
278,fez,34.0372,-4.9998,10.14,71,97,4.63,MA,1675998466
